Employee_ID,Age,Gender,Industry,Work_Location,Stress_Level_Numeric,Work_Hours_Per_Week,Access_to_Mental_Health_Resources,Work_Life_Balance_Rating,Mental_Health_Risk,Sleep_Hours,Productivity_Score
1039,23,Male,Support,No,7.29,31,No,8.08,Medium,7.2,1.04
1331,27,Female,Sales,Hybrid,5.53,58,Yes,5.91,Medium,7.1,1.14
1388,26,Female,HR,Hybrid,1.23,33,Yes,8.69,Low,5.4,7.43
1502,26,Female,HR,Yes,4.24,52,No,4.26,Low,6.5,1.55
1583,27,Female,Sales,No,4.88,52,No,8.58,Low,8.3,1.58
1587,23,Male,Marketing,No,5.19,54,No,7.65,Medium,5.4,1.57
1639,26,Male,HR,Hybrid,4.83,52,Yes,6.89,Low,6.8,1.98
1687,25,Female,Marketing,Yes,6.69,54,No,2.24,Medium,8.3,6.08
1697,26,Male,IT,No,3.11,47,No,1.93,Low,5.0,1.62
1733,24,Male,HR,No,7.33,42,No,3.71,Medium,6.1,9.9
1753,24,Female,HR,Yes,8.43,54,No,9.77,High,6.0,5.39
1764,27,Male,Support,Yes,2.12,49,No,7.73,Low,6.8,1.03
1794,23,Male,IT,Yes,8.97,40,Yes,5.51,High,8.2,3.44
1979,27,Female,HR,Yes,2.07,52,Yes,7.45,Low,6.8,1.46
2010,23,Male,IT,Hybrid,6.91,35,No,4.13,Medium,7.7,5.32
2015,22,Female,Marketing,Hybrid,2.04,48,Yes,3.28,Low,4.5,3.88
2032,24,Male,Engineering,No,5.73,46,No,9.58,Medium,4.2,4.1
2048,25,Female,HR,No,4.93,49,No,3.22,Low,8.6,3.95
2131,22,Female,Sales,Yes,6.65,44,Yes,5.38,Medium,6.6,5.16
2143,26,Male,HR,Yes,8.7,45,No,3.16,High,8.8,9.91
2157,22,Male,Sales,Yes,8.53,56,Yes,6.3,High,4.8,6.41
2224,25,Male,Sales,Yes,2.03,48,Yes,8.8,Low,7.6,4.1
2252,24,Male,Support,No,3.39,42,No,8.41,Low,5.2,2.0
2306,24,Female,Marketing,No,6.56,58,Yes,7.71,Medium,5.1,7.64
2414,27,Male,Sales,No,1.33,51,No,2.45,Low,6.7,7.08
2432,23,Male,Sales,No,9.15,55,Yes,3.25,High,5.6,8.17
2650,26,Female,Sales,Hybrid,2.87,59,No,8.03,Low,6.1,7.87
2676,26,Male,Marketing,Yes,8.1,53,Yes,4.38,High,7.8,1.62
2720,26,Female,IT,Hybrid,7.15,42,No,5.71,Medium,5.8,2.68
2739,27,Male,Support,No,3.55,31,No,8.49,Low,7.4,1.61
2790,27,Male,HR,Yes,6.83,56,No,5.71,Medium,7.5,8.49
2886,24,Female,Marketing,Hybrid,9.33,32,No,8.07,High,7.0,3.06
2905,23,Female,Support,Hybrid,9.93,56,Yes,9.99,High,4.4,7.35
2947,26,Male,Sales,Hybrid,6.65,36,No,6.71,Medium,8.3,1.59
2953,27,Male,Marketing,No,2.47,42,Yes,4.29,Low,6.8,2.05
2969,23,Female,IT,Yes,9.08,32,Yes,3.86,High,8.6,4.11
3261,25,Male,Marketing,Yes,5.71,41,Yes,1.1,Medium,6.8,1.23
3289,25,Male,Sales,Yes,4.82,50,Yes,2.88,Low,7.0,9.95
3338,25,Male,Support,Hybrid,7.73,50,Yes,1.42,Medium,8.3,5.02
3358,26,Female,Engineering,Hybrid,7.2,46,Yes,6.7,Medium,6.6,9.56
3421,24,Male,Marketing,Hybrid,9.74,47,Yes,8.93,High,5.8,4.93
3477,23,Male,HR,Hybrid,5.71,57,Yes,4.29,Medium,8.0,2.91
3532,25,Male,Marketing,No,9.88,51,No,2.28,High,8.5,2.43
3539,24,Male,IT,Yes,2.96,39,No,6.55,Low,5.6,2.01
3588,23,Female,HR,Hybrid,7.49,47,Yes,1.03,Medium,6.9,1.61
3594,22,Female,Engineering,Hybrid,8.08,47,Yes,1.44,High,7.9,7.86
3598,25,Male,Support,Yes,7.9,30,Yes,5.01,Medium,5.7,4.56
3636,24,Male,HR,Yes,9.83,44,Yes,10.0,High,5.7,7.4
3712,22,Female,Sales,No,8.04,48,No,9.45,High,8.8,6.85
3722,27,Male,IT,No,9.1,44,No,5.94,High,6.1,9.61
3794,24,Male,Support,Yes,1.81,43,No,2.43,Low,8.5,3.05
3845,22,Female,Sales,Hybrid,3.39,44,Yes,9.26,Low,8.7,3.47
3857,26,Female,Marketing,Yes,9.52,33,Yes,9.34,High,7.0,5.53
3883,25,Male,Engineering,Hybrid,1.06,51,Yes,4.67,Low,4.9,9.18
3997,24,Male,Marketing,No,3.47,31,Yes,3.76,Low,4.9,6.99
1072,22,Male,Support,Yes,7.97,37,Yes,9.88,Medium,4.8,1.51
1086,26,Male,Support,Hybrid,5.08,55,No,8.16,Medium,5.2,7.35
1106,22,Female,HR,Yes,7.63,47,Yes,9.05,Medium,4.2,3.45
1130,23,Female,IT,Hybrid,5.71,54,No,3.23,Medium,5.8,1.88
1245,25,Female,Engineering,Hybrid,7.76,41,No,1.72,Medium,7.3,8.32
1278,27,Female,Support,No,2.55,50,No,3.34,Low,4.7,7.76
1294,24,Female,Support,Hybrid,8.51,49,Yes,8.28,High,7.6,8.39
1301,23,Male,HR,Yes,2.24,45,Yes,6.17,Low,7.5,3.92
1396,26,Female,Support,Yes,7.95,45,No,9.6,Medium,5.3,6.06
1486,26,Male,Engineering,Hybrid,3.01,52,Yes,1.18,Low,5.0,6.66
1513,25,Female,Support,No,9.1,39,Yes,1.53,High,4.1,7.46
1628,22,Male,Support,Hybrid,4.08,51,Yes,4.17,Low,5.6,1.68
1674,26,Female,Marketing,Hybrid,8.53,51,No,4.72,High,5.1,2.48
1778,24,Female,Engineering,Yes,9.84,35,No,5.34,High,8.0,3.73
1784,27,Male,Sales,Yes,5.57,57,Yes,3.98,Medium,4.0,3.04
1847,22,Female,Support,No,2.39,37,Yes,8.16,Low,4.2,5.93
1879,27,Male,Support,Yes,4.53,53,No,6.52,Low,7.5,3.61
2066,22,Male,IT,Yes,9.86,36,No,3.64,High,7.3,2.03
2182,27,Male,Sales,No,4.21,37,Yes,8.74,Low,6.0,5.93
2219,24,Female,HR,Hybrid,1.7,56,No,2.66,Low,6.2,2.39
2367,23,Male,HR,No,7.26,38,Yes,2.56,Medium,6.6,1.48
2535,24,Female,HR,Hybrid,5.7,32,Yes,1.64,Medium,4.2,8.2
2536,27,Male,Sales,Hybrid,7.06,37,Yes,6.73,Medium,6.1,4.76
2603,27,Female,IT,Yes,4.43,53,Yes,2.59,Low,7.7,2.15
2618,23,Female,IT,Yes,1.18,51,Yes,2.57,Low,8.8,7.26
2625,23,Female,Support,No,1.38,36,No,7.12,Low,7.9,5.25
2630,23,Male,HR,Yes,5.02,49,No,2.41,Medium,6.7,8.21
2701,22,Female,Support,No,3.96,54,Yes,3.06,Low,7.9,7.56
2713,25,Female,Engineering,Hybrid,9.17,31,Yes,7.95,High,8.4,7.61
2942,24,Male,Sales,Yes,7.98,45,Yes,5.26,Medium,6.8,6.23
2949,22,Female,HR,No,9.45,38,No,9.65,High,5.6,9.86
3032,25,Male,HR,No,4.45,46,No,5.66,Low,8.0,1.35
3055,23,Male,IT,No,9.84,40,Yes,5.99,High,6.8,1.79
3089,23,Female,Marketing,Hybrid,3.28,44,Yes,4.92,Low,4.7,8.24
3123,22,Female,IT,Yes,9.92,36,Yes,7.41,High,5.9,5.54
3142,22,Female,Marketing,Yes,1.46,46,No,5.54,Low,6.6,9.47
3405,27,Female,Support,No,6.27,35,Yes,1.77,Medium,7.6,4.2
3431,25,Female,Engineering,Yes,7.06,44,Yes,8.33,Medium,4.0,9.01
3555,23,Male,HR,Hybrid,2.04,34,No,9.02,Low,4.1,5.88
3659,25,Male,HR,No,7.9,42,Yes,5.89,Medium,4.3,8.34
3804,23,Female,Marketing,Hybrid,3.04,49,No,6.25,Low,4.3,7.04
3808,22,Female,Engineering,No,4.11,31,No,3.43,Low,6.6,6.84
3864,25,Female,Sales,No,6.45,44,Yes,6.06,Medium,8.2,1.77
3923,26,Male,IT,No,5.13,58,Yes,9.58,Medium,5.1,1.91
1018,23,Female,IT,Hybrid,3.89,37,No,4.74,Low,6.6,6.83
1050,27,Female,Engineering,Yes,4.63,39,No,6.46,Low,6.5,8.61
1216,26,Female,HR,Hybrid,2.93,56,No,4.47,Low,5.7,2.43
1240,23,Female,Support,Hybrid,5.18,50,Yes,8.21,Medium,7.7,3.11
1290,24,Female,Engineering,No,2.23,30,Yes,9.62,Low,5.4,9.92
1337,25,Female,Engineering,Yes,6.6,43,No,3.18,Medium,5.6,6.27
1365,24,Female,Sales,Yes,2.39,37,No,4.85,Low,5.1,4.54
1413,24,Female,Engineering,Yes,1.48,35,No,2.27,Low,5.4,6.89
1414,22,Female,Support,Hybrid,2.2,50,Yes,6.73,Low,8.4,3.52
1433,25,Male,Sales,Yes,2.23,57,No,7.64,Low,8.4,8.64
1550,22,Male,HR,Hybrid,7.15,44,No,3.35,Medium,7.7,8.7
1605,22,Male,Sales,Hybrid,6.35,57,Yes,2.92,Medium,5.5,2.64
1799,26,Female,IT,No,9.03,44,Yes,3.35,High,6.0,8.8
1818,27,Male,IT,No,4.96,36,Yes,8.76,Low,7.0,9.65
1858,26,Male,Sales,No,8.27,43,No,3.46,High,7.6,9.47
1862,25,Female,Support,Yes,1.06,48,No,7.75,Low,8.8,3.49
